sentence,label
"I need someone to take the Redis integration — Quinn, can you?",assign_task
Let me comment on SCRUM-19 with the outcome of today's discussion.,add_comment
Remind me to add a note on SCRUM-51 later.,add_comment
Just need to finish the tests for the admin dashboard and it's done.,update_status
I'm going to delegate the onboarding flow to Quinn.,assign_task
Let's log a bug for the issue in the authentication service.,create_task
I deployed the payment gateway last night.,complete_task
I wrapped up the mobile responsive layout this morning.,complete_task
The error tracking setup is deployed to staging.,complete_task
I'll add a technical note to SCRUM-42 for future reference.,add_comment
I've closed SCRUM-41.,complete_task
"I don't see a ticket for the data export feature, I'll create one.",create_task
After this call I'll update the rate limiting middleware with the details.,add_comment
I'm still continuing with the caching layer.,update_status
I'm going to delegate the user profile page to Priya.,assign_task
I'll assign the search feature to Casey.,assign_task
I merged the webhook handler last night.,complete_task
I'm actively continuing with the login page UI.,update_status
I'll open a ticket for the data export feature today.,create_task
Create a task for the authentication service and assign it to Casey.,create_task
I'll add a technical note to SCRUM-4 for future reference.,add_comment
SCRUM-9 is blocked waiting on infra.,update_status
After this call I'll update the reporting module with the details.,add_comment
I resolved the rate limiting middleware yesterday.,complete_task
Someone should create an issue for the data export feature.,create_task
I think we should open a ticket for the notification service.,create_task
Can you record the decision in the deployment script?,add_comment
The caching layer is in review.,update_status
I'm actively working on the admin dashboard right now.,update_status
Let's assign the deployment script to Morgan.,assign_task
Let me comment on SCRUM-39 with the outcome of today's discussion.,add_comment
The onboarding flow should go to Taylor.,assign_task
Open a ticket for the admin dashboard for Jamie to pick up.,create_task
I've submitted the rate limiting middleware for review.,update_status
Today I'll continue working on the error tracking setup.,update_status
Can you update the ticket for the notification service with a note that the team agreed to use a third-party library?,add_comment
I've closed SCRUM-15.,complete_task
That task is fully done and ready for review.,complete_task
Let's create a task to handle the mobile responsive layout.,create_task
I'll add a note to the login page UI about the approach we discussed.,add_comment
Blocked on the caching layer due to a dependency on Quinn.,update_status
I put the onboarding flow into review yesterday.,update_status
"I've finished the S3 bucket setup, it's ready for review.",complete_task
Can you open a new story for the webhook handler?,create_task
SCRUM-20 has been finished.,complete_task
"Still working on the CI/CD pipeline, should be done by EOD.",update_status
Riley said they'd pick up the onboarding flow.,assign_task
We can mark the database schema migration as done.,complete_task
I'll add a note to the load balancer config about the approach we discussed.,add_comment
I'm happy to say the data export feature is complete.,complete_task
My PR for the reporting module got merged.,complete_task
Still working through SCRUM-32.,update_status
Can Devon pick this up?,assign_task
"Still picking up the notification service, should be done by EOD.",update_status
Let me add a new task for the email service — it should include setup instructions.,create_task
"We need a new story for the user profile page, Jordan will own it.",create_task
That feature isn't tracked yet — we need a ticket.,create_task
I finished SCRUM-17 this morning.,complete_task
Quinn should be the owner of the password reset flow.,assign_task
"The webhook handler is finished, nothing left to do.",complete_task
I'll pick up the mobile responsive layout myself.,assign_task
Please add a comment on SCRUM-48 — the PR needs another round of review.,add_comment
"The caching layer is almost done, just a few things left.",update_status
Remind me to add a note on SCRUM-7 later.,add_comment
Moving the reporting module from Jordan to Quinn.,assign_task
The user profile page is deployed to staging.,complete_task
We should add the mobile responsive layout to the backlog.,create_task
I picked up the database schema migration yesterday and it's going well.,update_status
"The authentication service is finished, nothing left to do.",complete_task
I'll add a technical note to SCRUM-29 for future reference.,add_comment
Just need to finish the tests for the search feature and it's done.,update_status
Add a note to the mobile responsive layout saying we switched from MySQL to PostgreSQL for this.,add_comment
We need to open a bug for the notification service.,create_task
Assigning SCRUM-26 to Jamie.,assign_task
Note in the billing integration that we're waiting on the design team.,add_comment
"I've finished the accessibility fixes, it's ready for review.",complete_task
Let's reassign the API integration module from Jamie to Taylor.,assign_task
"the API documentation isn't in Jira yet, let me add it.",create_task
Priya is going to pick up the password reset flow.,assign_task
We should add the notification service to the backlog.,create_task
I'll add a technical note to SCRUM-26 for future reference.,add_comment
I'll pick up the mobile responsive layout myself.,assign_task
I'm still still on the notification service.,update_status
"I'm blocked on the CI/CD pipeline, waiting for Alex.",update_status
"We're missing a story for the database schema migration, someone add it.",create_task
Note in the payment gateway that we're waiting on the design team.,add_comment
Put the email service on me.,assign_task
Update SCRUM-33 with a comment — the PR needs another round of review.,add_comment
The api documentation is on hold until we resolve the config issue.,update_status
Let's make sure to document this in SCRUM-22.,add_comment
Just shipped the notification service.,complete_task
The PR for the CI/CD pipeline is merged and deployed.,complete_task
Just closed out SCRUM-39.,complete_task
Devon is going to pick up the notification service.,assign_task
Can someone create a story for the dark mode feature?,create_task
I'll assign SCRUM-46 to Taylor.,assign_task
I'll create an investigation ticket for the payment gateway.,create_task
Please document on SCRUM-51 that the client requested a UI change.,add_comment
Today I'll continue in the middle of the admin dashboard.,update_status
My PR for the error tracking setup got merged.,complete_task
Put the API integration module on me.,assign_task
We can mark the API documentation as done.,complete_task
Let me add a new task for the search feature — it should include setup instructions.,create_task
SCRUM-48 is now assigned to Sameer.,assign_task
I'm close to finishing the caching layer.,update_status
The database schema migration has been finished.,complete_task
I've shipped the dark mode feature and pushed the changes.,complete_task
Can you assign the load balancer config to Avery?,assign_task
SCRUM-46 has been merged.,complete_task
I'll assign SCRUM-2 to Devon.,assign_task
I put the API integration module into review yesterday.,update_status
We can mark the admin dashboard as done.,complete_task
Let's log a bug for the issue in the data export feature.,create_task
"We need a task for the S3 bucket setup, the description should cover the implementation details.",create_task
Add a comment to SCRUM-54 that the team agreed to use a third-party library.,add_comment
"I need someone to take the accessibility fixes — Taylor, can you?",assign_task
"The mobile responsive layout is finished, nothing left to do.",complete_task
We need a new ticket for the load balancer config.,create_task
The work on the reporting module is complete.,complete_task
I'm assigning the data export feature to Taylor.,assign_task
We should put that in the ticket for the notification service.,add_comment
Blocked on the API integration module due to a dependency on Jordan.,update_status
I'm close to finishing the OAuth implementation.,update_status
Today I'm going to create a task for the password reset flow.,create_task
We should create a spike for the caching layer.,create_task
I've submitted the email service for review.,update_status
Let's assign the mobile responsive layout to Jordan.,assign_task
Can you update the ticket for the billing integration with a note that the PR needs another round of review?,add_comment
Can Riley pick this up?,assign_task
"We need a task for the onboarding flow, the description should cover the implementation details.",create_task
I'll update the comments on the Redis integration with today's discussion.,add_comment
Please add a comment on SCRUM-33 — we agreed to postpone this to next sprint.,add_comment
I think we should open a ticket for the load balancer config.,create_task
The dark mode feature should go to Priya.,assign_task
Create a task for the email service and assign it to Jamie.,create_task
I'm done with the search feature.,complete_task
We need to create a new task for the load balancer config.,create_task
Making good progress on the user profile page.,update_status
"I'm blocked on the database schema migration, waiting for Quinn.",update_status
Riley will take over the search feature from Taylor.,assign_task
Let me add that to the ticket.,add_comment
Can someone annotate the user profile page with the edge cases we found?,add_comment
"We're missing a story for the search feature, someone add it.",create_task
The notification service is deployed to staging.,complete_task
Log a comment on the dark mode feature: we switched from MySQL to PostgreSQL for this.,add_comment
I can't move forward on the API documentation until the API is ready.,update_status
The search feature is on hold until we resolve the config issue.,update_status
Let me add that to the ticket.,add_comment
Someone should note on the email service that the client requested a UI change.,add_comment
Can someone annotate the user profile page with the edge cases we found?,add_comment
We need to create a new task for the database schema migration.,create_task
My PR for the user profile page is up for review.,update_status
Let's assign the load balancer config to Priya.,assign_task
I'll assign SCRUM-46 to Riley.,assign_task
I finished the Redis integration yesterday.,complete_task
Let me create a task for the payment gateway.,create_task
Morgan said they'd pick up the mobile responsive layout.,assign_task
Today I'm going to create a task for the admin dashboard.,create_task
Can you record the decision in the API integration module?,add_comment
I've been continuing with the admin dashboard since yesterday.,update_status
"We're missing a story for the notification service, someone add it.",create_task
SCRUM-46 is in review.,update_status
That feature isn't tracked yet — we need a ticket.,create_task
Can Taylor pick this up?,assign_task
Moving the dark mode feature from Quinn to Sameer.,assign_task
I wrapped up the S3 bucket setup this morning.,complete_task
I need to log a task for the load balancer config before EOD.,create_task
Can you open a new story for the webhook handler?,create_task
Add a note to the error tracking setup saying we decided to split this into two tasks.,add_comment
Moving the deployment script from Taylor to Avery.,assign_task
I've submitted the authentication service for review.,update_status
I deployed the authentication service last night.,complete_task
Open a ticket for the notification service for Priya to pick up.,create_task
I think we should open a ticket for the mobile responsive layout.,create_task
Can you drop a note on the caching layer that the team agreed to use a third-party library?,add_comment
I'm picking up the API integration module right now.,update_status
"I don't see a ticket for the deployment script, I'll create one.",create_task
Can someone create a story for the API documentation?,create_task
I'll own the rate limiting middleware going forward.,assign_task
I can take ownership of the data export feature.,assign_task
I've signed off on the onboarding flow.,complete_task
The deployment script is on hold until we resolve the config issue.,update_status
I've closed SCRUM-15.,complete_task
I'm actively making progress on the search feature.,update_status
"I need someone to take the notification service — Riley, can you?",assign_task
There's no task for the Redis integration yet.,create_task
I merged the reporting module yesterday.,complete_task
My PR for the Redis integration is up for review.,update_status
I'm about halfway through the caching layer.,update_status
Quinn will own the payment gateway going forward.,assign_task
I'm assigning the Redis integration to Jordan.,assign_task
I've been in the middle of the onboarding flow since yesterday.,update_status
Someone should create an issue for the database schema migration.,create_task
I'll own the rate limiting middleware going forward.,assign_task
The deployment script has been resolved.,complete_task
Let's make sure to document this in SCRUM-34.,add_comment
Log a comment on the unit tests for auth: the team agreed to use a third-party library.,add_comment
Update SCRUM-22 with a comment — the approach was approved in the design review.,add_comment
Blocked on the admin dashboard due to a dependency on Devon.,update_status
I've been halfway through the payment gateway since yesterday.,update_status
There's no task for the accessibility fixes yet.,create_task
Let's assign the mobile responsive layout to Morgan.,assign_task
I'll take the caching layer.,assign_task
SCRUM-33 is now assigned to Taylor.,assign_task
Can someone create a story for the load balancer config?,create_task
That feature isn't tracked yet — we need a ticket.,create_task
I'll take the mobile responsive layout.,assign_task
I'm happy to say the dark mode feature is complete.,complete_task
Please add a comment on SCRUM-20 — we decided to split this into two tasks.,add_comment
We should document the decision about the user profile page in the ticket.,add_comment
Priya wrapped up the mobile responsive layout yesterday.,complete_task
I've completed about 80% of the login page UI.,update_status
"The accessibility fixes is almost done, just a few things left.",update_status
I picked up the API integration module yesterday and it's going well.,update_status
Let me comment on SCRUM-56 with the outcome of today's discussion.,add_comment
I'll create an investigation ticket for the webhook handler.,create_task
I'll document that decision in SCRUM-41.,add_comment
I'm assigning the onboarding flow to Alex.,assign_task
I'm actively actively working on the Redis integration.,update_status
I finished SCRUM-1 this morning.,complete_task
Can Devon own the search feature?,assign_task
"Still continuing with the error tracking setup, should be done by EOD.",update_status
Today I'm going to create a task for the S3 bucket setup.,create_task
The PR for the CI/CD pipeline is merged and deployed.,complete_task
Add a comment to SCRUM-39 that we agreed to postpone this to next sprint.,add_comment
Can someone annotate the payment gateway with the edge cases we found?,add_comment
I think we should open a ticket for the mobile responsive layout.,create_task
The ci/cd pipeline has been signed off on.,complete_task
Can you drop a note on the authentication service that the approach was approved in the design review?,add_comment
The password reset flow is deployed to staging.,complete_task
"We need a task for the authentication service, the description should cover the implementation details.",create_task
Please add a comment on SCRUM-42 — we agreed to postpone this to next sprint.,add_comment
I'll assign SCRUM-23 to Morgan.,assign_task
SCRUM-39 is now assigned to Jamie.,assign_task
I'll add a comment to the API documentation after the standup.,add_comment
Put the rate limiting middleware on me.,assign_task
Today I'll continue working on the OAuth implementation.,update_status
"The search feature is ready for review, waiting on Morgan.",update_status
Can you update the ticket for the unit tests for auth with a note that we decided to use REST instead of GraphQL?,add_comment
I'm done with the unit tests for auth.,complete_task
Let's create a task to handle the billing integration.,create_task
The admin dashboard is in progress.,update_status
The dark mode feature is done.,complete_task
"We're missing a story for the OAuth implementation, someone add it.",create_task
I've signed off on the payment gateway.,complete_task
"We need a new story for the notification service, Riley will own it.",create_task
Just closed out SCRUM-7.,complete_task
I think we should open a ticket for the login page UI.,create_task
Let's create a task to handle the Redis integration.,create_task
Can someone annotate the unit tests for auth with the edge cases we found?,add_comment
I'm happy to say the password reset flow is complete.,complete_task
Can you record the decision in the rate limiting middleware?,add_comment
Let's make sure to document this in SCRUM-57.,add_comment
I'd like Riley to own the S3 bucket setup.,assign_task
I'll own the database schema migration going forward.,assign_task
I'll assign the OAuth implementation to Avery.,assign_task
Making good progress on the admin dashboard.,update_status
I'm still on SCRUM-55.,update_status
Making good progress on the database schema migration.,update_status
Put the Redis integration on me.,assign_task
I'll leave a note on SCRUM-17 about this.,add_comment
I'll take the user profile page.,assign_task
SCRUM-46 is currently in progress.,update_status
I'll leave a note on SCRUM-19 about this.,add_comment
We should put that in the ticket for the dark mode feature.,add_comment
I've closed SCRUM-17.,complete_task
I'm actively in the middle of the OAuth implementation.,update_status
Avery said they'd pick up the database schema migration.,assign_task
I'll own the admin dashboard going forward.,assign_task
I'd like Jordan to own the database schema migration.,assign_task
Update the S3 bucket setup with a comment about the API changes.,add_comment
I'll take the OAuth implementation.,assign_task
SCRUM-2 has been merged.,complete_task
"Still making progress on the user profile page, should be done by EOD.",update_status
Blocked on the API documentation due to a dependency on Riley.,update_status
There's no task for the load balancer config yet.,create_task
Can you move SCRUM-57 to Morgan?,assign_task
Avery finished the load balancer config yesterday.,complete_task
I'll create an investigation ticket for the authentication service.,create_task
Just deployed the onboarding flow.,complete_task
The caching layer should go to Morgan.,assign_task
I'm actively actively working on the S3 bucket setup.,update_status
SCRUM-56 is blocked waiting on infra.,update_status
Add a comment to SCRUM-4 that we decided to split this into two tasks.,add_comment
I'm going to delegate the onboarding flow to Taylor.,assign_task
I'm assigning the billing integration to Devon.,assign_task
Can you record the decision in the billing integration?,add_comment
Just closed out SCRUM-39.,complete_task
"Priya, can you take ownership of the password reset flow?",assign_task
My PR for the API documentation got merged.,complete_task
Let me create a task for the API integration module.,create_task
I need to log a task for the API integration module before EOD.,create_task
"The oauth implementation is almost done, just a few things left.",update_status
The mobile responsive layout is in review.,update_status
I'll add a comment to the user profile page after the standup.,add_comment
I picked up the login page UI yesterday and it's going well.,update_status
I picked up the API documentation yesterday and it's going well.,update_status
The redis integration has been deployed.,complete_task
I'll own the S3 bucket setup going forward.,assign_task
I completed SCRUM-12.,complete_task
The PR for the API integration module is merged and deployed.,complete_task
Please add a comment on SCRUM-59 — we changed the deadline to Friday.,add_comment
Add context to SCRUM-34 about the blockers we discussed.,add_comment
Let's assign the billing integration to Riley.,assign_task
I deployed the reporting module last night.,complete_task
I'll leave a note on SCRUM-32 about this.,add_comment
SCRUM-50 is blocked waiting on infra.,update_status
We can mark the login page UI as done.,complete_task
I've submitted the error tracking setup for review.,update_status
Riley will take over the password reset flow from Quinn.,assign_task
I'll pick up the Redis integration myself.,assign_task
Blocked on the reporting module due to a dependency on Morgan.,update_status
Let's reassign the database schema migration from Taylor to Morgan.,assign_task
Making good progress on the admin dashboard.,update_status
That feature isn't tracked yet — we need a ticket.,create_task
That feature isn't tracked yet — we need a ticket.,create_task
The email service is done.,complete_task
I'm going to delegate the load balancer config to Morgan.,assign_task
The password reset flow should go to Morgan.,assign_task
I think we should open a ticket for the password reset flow.,create_task
"Still currently handling the load balancer config, should be done by EOD.",update_status
SCRUM-13 is in review.,update_status
The work on the API documentation is complete.,complete_task
Can we give the data export feature to Jordan?,assign_task
Please document on SCRUM-49 that we decided to split this into two tasks.,add_comment
SCRUM-38 is currently in progress.,update_status
We should add the Redis integration to the backlog.,create_task
I'm working on SCRUM-10.,update_status
SCRUM-5 is currently in progress.,update_status
The admin dashboard is on hold until we resolve the config issue.,update_status
I finished SCRUM-59 this morning.,complete_task
"Still currently handling the webhook handler, should be done by EOD.",update_status
Moving the webhook handler from Jordan to Priya.,assign_task
Someone should note on the password reset flow that the approach was approved in the design review.,add_comment
Can someone annotate the reporting module with the edge cases we found?,add_comment
I'm actively making progress on the reporting module.,update_status
I've submitted the webhook handler for review.,update_status
"I need someone to take the data export feature — Sameer, can you?",assign_task
I need to log a task for the webhook handler before EOD.,create_task
The dark mode feature is done.,complete_task
I'm about halfway through the email service.,update_status
Blocked on the rate limiting middleware due to a dependency on Devon.,update_status
I'll add a technical note to SCRUM-43 for future reference.,add_comment
I'll leave a note on SCRUM-49 about this.,add_comment
Let me add that to the ticket.,add_comment
We can mark the user profile page as done.,complete_task
I think we should open a ticket for the OAuth implementation.,create_task
Can someone create a story for the rate limiting middleware?,create_task
I've been taking care of the notification service since yesterday.,update_status
Can Jordan pick this up?,assign_task
SCRUM-10 is currently in progress.,update_status
Still working through SCRUM-42.,update_status
Casey resolved the deployment script yesterday.,complete_task
My PR for the S3 bucket setup got merged.,complete_task
"I don't see a ticket for the admin dashboard, I'll create one.",create_task
SCRUM-58 is currently in progress.,update_status
That feature isn't tracked yet — we need a ticket.,create_task
Let's log a bug for the issue in the deployment script.,create_task
I put the load balancer config into review yesterday.,update_status
Let's assign the notification service to Casey.,assign_task
Add context to SCRUM-29 about the blockers we discussed.,add_comment
The caching layer is in review.,update_status
The api integration module has been finished.,complete_task
I'm going to delegate the deployment script to Casey.,assign_task
"the search feature isn't in Jira yet, let me add it.",create_task
"I need someone to take the accessibility fixes — Riley, can you?",assign_task
Add a comment to SCRUM-5 that the client requested a UI change.,add_comment
Please add a comment on SCRUM-12 — we decided to split this into two tasks.,add_comment
Update the mobile responsive layout with a comment about the API changes.,add_comment
I've completed about 80% of the rate limiting middleware.,update_status
The api integration module is in progress.,update_status
I'll create an investigation ticket for the password reset flow.,create_task
We need a new ticket for the authentication service.,create_task
Quinn said they'd pick up the API integration module.,assign_task
Casey finished the webhook handler last sprint.,complete_task
"Still halfway through the email service, should be done by EOD.",update_status
Avery will take over the error tracking setup from Priya.,assign_task
SCRUM-32 is blocked waiting on infra.,update_status
I can't move forward on the onboarding flow until the API is ready.,update_status
The dark mode feature is on hold until we resolve the config issue.,update_status
"I don't see a ticket for the load balancer config, I'll create one.",create_task
My PR for the deployment script is up for review.,update_status
Add context to SCRUM-15 about the blockers we discussed.,add_comment
The user profile page should go to Taylor.,assign_task
I done with the data export feature last night.,complete_task
I'm about halfway through the payment gateway.,update_status
I'm happy to say the CI/CD pipeline is complete.,complete_task
Casey should handle the email service this sprint.,assign_task
"the error tracking setup isn't in Jira yet, let me add it.",create_task
"We need a task for the database schema migration, the description should cover the implementation details.",create_task
"We need a task for the login page UI, the description should cover the implementation details.",create_task
SCRUM-1 has been finished.,complete_task
I'll update the comments on the API integration module with today's discussion.,add_comment
Can someone annotate the accessibility fixes with the edge cases we found?,add_comment
Avery should be the owner of the deployment script.,assign_task
"Taylor, would you be able to handle the caching layer?",assign_task
We should document the decision about the database schema migration in the ticket.,add_comment
My PR for the login page UI is up for review.,update_status
That feature isn't tracked yet — we need a ticket.,create_task
Please add a comment on SCRUM-56 — we switched from MySQL to PostgreSQL for this.,add_comment
Please document on SCRUM-14 that the approach was approved in the design review.,add_comment
I'll add a comment to the error tracking setup after the standup.,add_comment
My plan is to open a story for the rate limiting middleware today.,create_task
The login page ui is in review.,update_status
Can you record the decision in the Redis integration?,add_comment
I'll add a comment to the authentication service after the standup.,add_comment
SCRUM-29 is done.,complete_task
Note in the rate limiting middleware that we're waiting on the design team.,add_comment
The caching layer is done.,complete_task
I signed off on the payment gateway last night.,complete_task
Can you record the decision in the webhook handler?,add_comment
I picked up the notification service yesterday and it's going well.,update_status
Just need to finish the tests for the admin dashboard and it's done.,update_status
